 December 2022,5,Warm and welcoming - Reflective of the great Moroccan culture! Highly recommended.,"Abdallah (hotel manager), Hamdi, Yassine and the entire Hyatt team at Casablanca made us feel like coming back home after long hours of travel. This is my 5-6th stay with the Casablanca Hyatt over 15 years and I cannot recommend it higher. They took care of everything!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,hotelName,city
 August 2017,1,Avoid this hotel,"This hotel used to be a good place and had its past glory. The rooms in the first 3 floors are extremely smelly and the air conditioning smell is just disgusting. The staff at the reception should be replaced. There is nothing to improve there. After every single stay at this hotel, i got charged by the hotel on my credit card some sums of money, for things I did not consume. Every time I did raise a claim with my bank and ended up having all these charges reversed back. Also at every time i did check in, the minibar had items missing, which of course the hotel tried to charge me upon check out. I truly wonder if this hotel qualifies to be a Hyatt hotel !",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2018,1,Disgusting welcoming,"I booked this hotel and paid in advance in November. On the 24th January I arrived in Casablanca and when I was in front the check in desk I was told my room was cancelled because it booked the whole hotel. Lairs . I was told that they sent an email , liars, Never received anything. Obviously o was furious. One of my colleague kindly gave il his room and it was given to me. No apologies , I asked to talk to the manager and it was never available on 5 days. Hayatt regency Casablanca never again. Zero professionality.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2018,3,"Ok hotel, rooms due for upgrade.",Ground level restaurant and breakfast is excellent. However in the room the sheet was stained and asked for a change. The view is not what is sold on the sites as ours overlooked a lot. The gym is new and well equipped.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2018,4,Very good hotel & service but need some development for the restaurant specially on the way of uncomfortable seats,"Very good hotel & service but need to develop the uncorfamble seats, also how come the mob bar is closed and need huge amount 1000 DH just to put my water bottles, that was right way, The cleaning of the room is perfect",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2018,4,Good for business stay,"Located in Casablanca in the old city part near the old Souq, the ocean is a walking distance to the corniche side, Hassan the 2nd mosque is nearby, metro station is right across the street, many outing places nearby, well secured. There are a variety of food places, whether you are at the lobby lounge area and ground floor, there is a nice gym, pool, a convention center, a very welcoming and cheerful staff always there to help. WiFi is everywhere, they have a Cartier store. Food is good at their restaurants, breakfast is very good and gives you selections, rooms are quite sizable and clean.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2018,5,Repeat Visit to this Excellent Well Located Hotel,"Top notch facilities at this very professionally and well run Hyatt. We were treated to an upgrade to a Junior Exec Suite with a Hassan II Mosque view as requested and although a bit disappointed to learn that the Regency Club was closed for renovations we were reassured by the lovely and gracious Team Leader Imane that all would be taken care of in the lobby bar. Overall cannot fault this hotel....staff are polite and accommodating, helpful and professional. Very well run property as I remembered it from my past visit. Comfortable bedding and very quiet rooms. Chourkran!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2018,5,Great place in the city of Casablanca,"It's great place to stay in the city of Casablanca. We stayed there on the night of 31st December 2017. Though there was no official new year celebration count down in Morocco but we could still enjoy the view of people singing and strolling in town right from the window of our bedroom. Yet, there are good music bar, and cosy recpetion at the lobby where you could go and enjoy the night.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2018,5,Hyatt Regency Casa: your home away from home,"Great personnel. I lost my two expensive phones. I must say I was touched when Chaimaa, Ben Zbir found them and kept them for me. Abddellah Rida El Idriss and Mouatassin will make sure you have the greatest experience during your stay. A colleague came looking for me at the hotel and later on told me: ""seems you are well known in this hotel"" I must say several good people will watch out for you during your stay including: Mir Mohamed, Zoubeir El Basri, Nasrallah Abdelujid, Fetaah Ahmed and Kababay. In this hotel your stay will be one to always remember",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2017,5,Excellent business hotel,Full amenities. Good central location. Large well appointed rooms. Public spaces are most attractive. The lobby has a bar. The breakfasts were excellent with an omelette chef and a sufficient array of local specialties. Had room service--harira soup--very tasty and promptly delivered.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2017,4,Best option in Casablanca!,Really enjoyed our stay here! Courteous and helpful staff. Beautiful lacquered wood panels in the lobby lounge and hotel room. Offers alcohol in their beautiful lounge. Our stay wasn’t long enough to try their restaurants but I think we would have enjoyed that too. It’s in a great location. Our room was on the 9th floor and had a great view of the United Nations Plaza. Would recommend this hotel.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2017,3,"Compared to other Hyatt hotels, the room layouts need improvement","This hotel is typical of the Hyatt hotel: excellent location, good staff. However, the rooms themselves may be typical in design for Morocco, but atypical for Hyatt: a small, cramped toilet room separated from the bath. This toilet room barely has room to open the door inwards, and one must practically hug the wall to open it from inside. Why is this separated from the main bath? For hygiene, one must walk to the bath/sink room anyway. An added inconvenience is the electrical system -- apparently one needs to read a manuel to figure out the master light switch. So, in the middle of the night you need to go, you flick on the light switch near your bed, and ALL the lights in the room turn on, disturbing your partner. Why not have a lighted light switch right next to the toilet or…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2017,5,Best choice in Casablanca,"I am frequently travelling to Casablanca and always stay at the Hyatt. The rooms are beautiful, well maintained and very clean. The luxurious and elegant lobby/bar give an added value to your visit. The service is not always quick, but very nice. Food is excellent in all restaurants. If you have the chance to stay in a suite, then it will be a once in a life time experience. My valuation: best of Casablanca",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2017,4,Best breakfast in town,"We only came to have breakfast and were not disappointed. Really nice selection of fresh food, fruits, juices, breads etc. Very friendly, responsive staff. We had breakfast at Sofitel/ brasserie la tour the day before - which doesn't match up at all. See my rating there.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2017,5,Nicest hotel in Casablanca !!,The Hyatt Regency was beautiful. We had a wonderful stay there and the staff were super friendly and treated you with 5 star service. Hotel was very clean and was in an excellent convenient location right in the center of the city and by the water. Had an excellent stay and would highly recommend and stay again !! Paul + Derya :),Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2017,5,Terrific location,Hayatt is hayatt. Unbeatable service.. hassle free checkin... restaurants.. housekeeping... would love to come back. Corridors are bit dated... Lifts make rumbling sound at times.. staff is very helpful.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2017,5,A fabulous Hotel with Amazing Staff,"We stayed at the Hyatt and were extremely happy with the central location within walking distance to the Old Medina shopping markets. Our rooms were very clean, with updated bathrooms; the beds were very comfortable. Casablanca is a very busy city of 3.5 million people and this location sees a lot of action/ performers at the square across the street. Having said that the most important part of the stay was that we felt very safe there once we entered the Hotel gates. We would definitely recommend this hotel. A special thank you to managers Ludivine Ughetto and Abdellah Rida El Idrissi. Both of which went above and beyond their duties to accommodate us and take care of our party. Ludivine was very accommodating and changed our days around so that we could return to this hotel at…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
