 December 2022,5,The best of both worlds!,"My family of 5 loved La Maison Arabe! It was a perfect home base for us in Marrekesh for 4 days. We had a deluxe room and a standard suite for our 3 kids (older teenagers). Both rooms were lovely. The suite was especially nice because the 3rd bed was in its own little niche so it wasn't so crowded in the main space. Rooms were good-sized and clean. Beds were very comfortable with soft sheets. Bathroom was nice - clean, spacious and good products with fluffy towels. I have read a few comments about the hot water - we had no problem at all. Plenty of hot water and good water pressure (weak water pressure is a pet peeve of mine). The hotel itself is very unique & charming, with lots of different areas to explore. The bar was old-school with dim lights and dark furniture. We…",hotelName,city
 October 2018,5,La Maison Arabe - what a beautiful place to end my stay in Morocco!,"As I walked through the door or this beautiful riad I was overwhelmed by the elegance and tasteful decor. Everywhere you looked there was something to take your breath away! It was beautiful enough that after settling in I walked around to take pictures so I wouldn't forget. We were then met by the thoughtful gesture of treats in our room and after our long bus ride, it was more than welcomed. Breakfast the next morning was a wonderful way to start the day, especially when you sat around the small pool and listened to all the birds flying around. But even better than all of that were the employees who in their quiet and gentle way couldn't do enough to make our stay one of the best I have every had and has left a lasting impression of Morocco for me. Staff at the Front…",La_Maison_Arabe,Marrakech
 November 2018,5,Beautiful place and great food,"We ended up going twice to this place. It was great to dine in the garden next to the pool. My food was pretty taste (couscous and vegetarian couscous), even though my husband's was lacking some taste (slow cooked lamb). The Riad is also beautiful with a bit of history behind it.",La_Maison_Arabe,Marrakech
 October 2018,5,Beautiful riad.,"We have just returned from a rather wet few days in Marrakech. We couldn’t have chosen a better place to stay. La Maison Arabe feels special as soon as you enter. We began to unwind straight away with our complimentary drink in the tranquil courtyard. The decor is impeccable and Moroccan. We visited one of the larger 5* hotels whilst we were away and were so glad we had chosen La Maison as it feels so genuine and personal. The pool is warm and I wish I had found time for s dip there, but we did spend a long time at the garden pool which is a short complimentary drive away. We had a lovely poolside lunch in another peaceful setting. You must visit the hammam at the riad and I strongly advise having a massage after. It was bliss. Enjoy your trip.",La_Maison_Arabe,Marrakech
 October 2018,5,Exceptional stay at the maison arabe !!!!,Can’t say enough about the exceptional service at this wonderful hotel that is centrally located at the heart beat of the city. Adil chaif the office manager surprised us by upgrading us to a suite as we were celebrating our 30 th wedding anniversary. The suite overlooked the beautiful pool and in the pm you could here the soothing music from the talented musicians playing at the pool for dinner . My husband enjoyed the cooking workshop and I thoroughly was in bliss after the hamam and facial. Had the Opportunity to meet the general manager of the hotel who was very welcoming and very pleasant. Thanks to all the staff who were exceptional!!!!!,La_Maison_Arabe,Marrakech
 October 2018,5,"Stunning stay, almost everything was perfect","La Maison Arabe really lives up to the beauty of the promotional pictures. It has bags of charm, and an authentic beautiful with its carved wood walls and ornate tiles. Our room was very nice, with a small garden terrace. The restaurant (Le Trois Saveurs) was stunning, located around the beautiful courtyard pool, with live music both night we ate there. The food was also delicious, the menu is split into Moroccan and international dishes and each seemed to be of a high quality if the four meals my wife and I chose were any indication. The service in general was also excellent on the whole, both in initial email correspondence and the excellent front desk staff who were very efficient and attentive. My only small gripe would be there appeared to be some tension / minor…",La_Maison_Arabe,Marrakech
 October 2018,5,La Maison Arabe,"If 6 stars were available, that's what I would use. The location, the property, the staff and the amenities create a package that cannot be beaten. Do have a dinner at the hotel; the food is wonderful.",La_Maison_Arabe,Marrakech
 October 2018,5,Excellent and quiet place in the medina,"In the old town of Marrakech, within walking distance of all sights in the medina you will find this hotel. It is very authentic, the service at a high level and our room ( a suite, 226 ) was just the most amazing we have ever seen. Very large, very decorated, three (!) floors, with a private rooftop terrace with beds and big jacuzzi. Breakfast just superb end roomservice great. A fantastic place to stay when visiting Marrakech!",La_Maison_Arabe,Marrakech
 October 2018,4,Simply elegant old world riad,Just steps from the old market down a quiet alley. Once across the threshold guests are immersed in richly appointed luxury. Rooms overlooking the pool and courtyard are a treat. Very nice bar but be prepared for lots of steps. Not ADA compliant,La_Maison_Arabe,Marrakech
 October 2018,5,Romantic dinner for our honeymoon,"Such a beautiful setting and restaurant! We came here on our first night in Marakech for dinner on our honeymoon and loved it! The seafood tagine and lamb tagine were delicious. This place is a must see, even if you come for just a drink! Live music and beautiful setting!",La_Maison_Arabe,Marrakech
 October 2018,5,Just plain wonderful!,"This is a truly fantastic hotel. Nothing is too much trouble for the staff, who remember you and your room number. The hotel itself is a beautiful riad setting in the medina: a quiet and calm respite from the rush and bustle outside. Afternoon mint tea with music is included. Two restaurants, both with music. A swimming pool plus a Kasbah complete with a pool about 15 minutes away by complimentary transport. On checking out, we were given pastries and water for the journey and Moroccan Cookery Book based on hotel recipes, which is beautifully photographed. As an added bonus, the hotel had completed or cards for emigration for the authorities at the airport. These added touches just emphasise how wonderful the staff are. It would be very hard to improve anything about this…",La_Maison_Arabe,Marrakech
